ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C75149077_P117019537,-5.381,-5.96,-5.751,-5.776,-5.757,-5.865,-5.887,-6.849
C39959444_P97217721,-5.643,-7.044,-6.657,-5.788,-5.359,-5.645,-5.873,-6.849
C40231293_P61086653,-4.933,-7.693,-6.697,-6.138,-6.147,-4.135,-5.821,-6.843
C88036275_P137686801,-5.357,-6.457,-5.103,-6.461,-5.712,-5.761,-5.302,-6.829
C49648397_P74165730,-5.128,-7.108,-6.009,-7.191,-5.669,-5.928,-6.098,-6.826
C94522436_P148168204,-5.591,-5.755,-5.954,-6.2,-6.476,-5.139,-5.804,-6.823
C88397870_P138280379,-4.405,-5.958,-5.704,-6.49,-5.262,-5.978,-6.088,-6.817
C85304392_P133483060,-5.534,-5.857,-5.574,-6.242,-5.008,-6.212,-6.176,-6.812
C87042260_P136235409,-5.405,-6.089,-5.327,-6.467,-4.187,-4.103,-6.227,-6.807
C94258573_P147724090,-6.004,-6.348,-5.633,-6.705,-6.007,-5.753,-6.079,-6.801
C68764249_P105593267,-5.549,-6.053,-5.536,-6.667,-6.383,-6.509,-5.511,-6.794
C43404451_P65637585,-5.592,-5.618,-5.919,-5.783,-6.157,-6.138,-4.997,-6.787
C51607623_P77324133,-5.329,-6.232,-6.271,-6.376,-5.086,-5.574,-5.853,-6.78
C82462279_P128878876,-5.019,-6.33,-6.233,-6.408,-4.93,-5.148,-6.58,-6.776
C39912699_P61492583,-4.519,-6.732,-5.742,-5.539,-5.427,-4.608,-6.024,-6.775
C93129973_P145812451,-6.546,-7.577,-6.359,-8.293,-5.288,-6.197,-5.828,-6.774
C00422575_P04683690,-6.577,-6.929,-6.075,-6.6,-5.873,-6.596,-6.925,-6.766
C86874128_P136002431,-5.363,-5.829,-4.889,-5.247,-5.723,-4.897,-5.267,-6.762
C86422438_P135299655,-4.693,-5.14,-5.709,-5.886,-4.931,-5.52,-5.211,-6.759
C95891377_P150946088,-6.066,-6.905,-5.711,-6.305,-6.005,-6.026,-6.303,-6.752
C94660004_P148372866,-5.493,-6.591,-6.598,-7.809,-5.162,-6.187,-7.164,-6.748
C85377692_P133637406,-5.264,-6.993,-6.283,-6.567,-5.265,-5.044,-5.926,-6.746
C12341811_P24312376,-5.722,-6.474,-5.541,-6.108,-5.725,-5.886,-6.733,-6.74
C94412956_P147963895,-6.083,-6.012,-6.575,-6.998,-6.41,-6.667,-5.685,-6.733
C38867822_P129686175,-5.036,-6.02,-5.74,-6.576,-6.003,-5.088,-5.838,-6.731
C40245189_P61098697,-5.174,-6.364,-6.361,-7.218,-5.762,-6.836,-7.251,-6.727
C10061699_P15357104,-5.571,-7.805,-6.978,-6.831,-6.373,-7.043,-6.014,-6.726
C36205572_P151642175,-5.876,-7.99,-6.62,-6.277,-4.405,-4.238,-6.855,-6.715
C69900311_P107708959,-5.266,-5.795,-5.675,-5.782,-5.761,-5.599,-5.882,-6.713
C41671581_P63146668,-4.583,-6.743,-6.101,-7.315,-5.366,-5.846,-6.845,-6.71
C86990652_P136157630,-5.101,-5.487,-5.518,-5.889,-5.424,-4.636,-6.249,-6.707
C96150459_P151471386,-5.691,-5.737,-5.546,-6.027,-5.157,-5.514,-5.247,-6.707
C44214099_P66778465,-5.32,-5.887,-5.896,-5.947,-5.42,-5.802,-6.248,-6.702
C41052057_P62314469,-5.178,-6.221,-5.425,-5.722,-5.584,-4.946,-5.475,-6.698
C19826021_P29446961,-5.505,-6.44,-6.181,-6.809,-7.142,-5.787,-6.116,-6.696
