ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C72448093_P112714923,-5.095,-6.383,-5.738,-6.851,-5.051,-5.89,-7.008,-6.29
C94586341_P148268429,-5.936,-5.612,-5.615,-6.579,-5.809,-6.228,-7.701,-6.286
C93978835_P147300835,-5.795,-7.033,-6.532,-7.692,-6.862,-6.809,-6.964,-6.286
C70428507_P108598674,-4.952,-5.894,-5.681,-6.538,-5.141,-5.76,-5.91,-6.285
C62817660_P96391899,-4.929,-5.06,-5.311,-6.201,-5.904,-5.372,-5.718,-6.283
C69679085_P107335434,-4.959,-6.483,-5.851,-6.644,-5.513,-5.819,-7.035,-6.282
C95642093_P150396455,-4.817,-5.794,-5.536,-6.069,-5.581,-5.432,-5.818,-6.281
C65339416_P150061058,-6.144,-6.343,-5.753,-6.365,-6.381,-5.758,-6.257,-6.279
C84423242_P132098487,-4.31,-4.676,-4.928,-5.983,-4.095,-3.847,-6.881,-6.278
C86574272_P135525713,-5.557,-6.4,-5.723,-6.978,-5.883,-5.714,-6.939,-6.269
C59516368_P91864241,-4.82,-6.096,-5.151,-5.526,-5.78,-4.699,-5.486,-6.269
C37666765_P56013289,-5.57,-6.595,-6.391,-7.078,-5.764,-6.157,-6.643,-6.263
C92346495_P144553886,-5.381,-5.922,-6.418,-6.325,-5.549,-6.069,-6.49,-6.263
C54346109_P81766181,-4.81,-6.011,-5.376,-6.211,-5.78,-6.036,-5.971,-6.263
C06599700_P10398144,-4.036,-6.525,-6.044,-6.991,-4.183,-6.263,-6.504,-6.261
C39112310_P59252412,-5.634,-6.392,-5.579,-6.551,-6.175,-5.295,-6.375,-6.261
C36762194_P54642106,-5.118,-5.905,-5.67,-6.235,-5.331,-5.377,-5.932,-6.259
C87007854_P136187572,-5.784,-6.272,-6.363,-6.243,-5.451,-6.189,-5.064,-6.259
C86783282_P135837106,-4.803,-5.445,-5.68,-6.122,-4.903,-5.722,-6.097,-6.258
C40632122_P61679617,-4.593,-5.969,-5.607,-6.01,-4.917,-5.762,-5.479,-6.258
C46020340_P99354261,-4.365,-5.479,-5.447,-5.857,-6.359,-4.628,-5.043,-6.258
C87596140_P137013368,-4.857,-6.14,-5.491,-5.571,-5.316,-5.599,-5.001,-6.256
C85315357_P133509074,-4.967,-5.52,-5.608,-6.16,-4.819,-5.48,-5.431,-6.252
C36373250_P54065493,-5.36,-6.162,-6.991,-6.088,-6.165,-5.571,-5.521,-6.25
C86934977_P136093294,-5.004,-5.498,-5.408,-5.83,-5.051,-4.657,-5.439,-6.249
C03052041_P128273890,-4.866,-5.623,-4.874,-5.081,-5.028,-4.804,-6.535,-6.248
C36305696_P53957704,-4.756,-5.735,-5.793,-5.389,-5.19,-5.005,-5.08,-6.248
C87940015_P137553775,-5.54,-5.777,-5.777,-6.022,-5.26,-5.523,-5.359,-6.247
C79776669_P124663860,-5.159,-7.061,-6.303,-7.398,-5.542,-5.936,-6.32,-6.245
C25422369_P37581763,-4.327,-6,-6.786,-6.25,-4.02,-4.102,-5.017,-6.244
C93655416_P146699091,-5.2,-6.352,-5.723,-6.08,-5.16,-4.988,-6.456,-6.243
C06512757_P53441705,-5.246,-5.841,-6.221,-5.854,-5.825,-5.992,-6.049,-6.241
C72392281_P112582903,-4.972,-6.401,-5.677,-5.879,-5.459,-4.944,-5.744,-6.234
C90571688_P141694904,-5.761,-6.931,-5.272,-6.379,-5.467,-5.524,-5.828,-6.229
C52125177_P78044847,-5.337,-7.021,-6.192,-7.32,-4.795,-5.162,-6.007,-6.228
C86218583_P135015280,-5.196,-6.684,-6.075,-6.853,-4.697,-5.708,-6.189,-6.225
C71771218_P111208173,-4.16,-5.147,-5.488,-5.526,-4.869,-4.978,-5.139,-6.225
C86251456_P135053877,-4.957,-6.401,-5.555,-6.682,-5.755,-6.234,-6.33,-6.223
C86758556_P135818620,-5.229,-5.896,-5.479,-6.319,-5.728,-5.077,-5.952,-6.223
C84192219_P131738201,-5.767,-5.944,-5.262,-6.404,-5.199,-5.779,-5.013,-6.223
C70993237_P109597380,-5.122,-5.417,-5.312,-5.864,-5.71,-5.763,-4.915,-6.223
C86684904_P135685590,-5.26,-5.977,-5.288,-6.1,-4.963,-5.187,-5.888,-6.217
C88379442_P138238604,-5.659,-5.921,-5.742,-6.225,-6.14,-4.897,-6.134,-6.214
C50526395_P75551112,-5.163,-6.244,-6.4,-6.382,-6.182,-5.648,-7.021,-6.211
C54716961_P82355738,-5.435,-6.846,-6.531,-7.019,-4.874,-6.165,-6.215,-6.21
C85188880_P133298632,-5.39,-6.299,-6.114,-6.549,-5.35,-5.367,-5.477,-6.21
C44034859_P66588165,-4.969,-5.624,-5.912,-6.877,-5.013,-5.688,-5.354,-6.209
C69015227_P106023172,-5.244,-5.729,-5.516,-6.08,-5.548,-4.802,-5.442,-6.206
C84083030_P131562432,-5.232,-5.871,-5.23,-5.65,-4.685,-5.133,-5.071,-6.206
C36160540_P53724159,-5.831,-5.706,-5.572,-6.797,-5.614,-6.041,-7.047,-6.201
C94412950_P147963889,-5.464,-6.541,-5.74,-7.038,-5.973,-5.428,-5.301,-6.201
C44180967_P66764420,-5.599,-5.44,-5.678,-6.339,-4.562,-5.881,-6.869,-6.2
C95762091_P150631266,-5.538,-6.01,-5.692,-6.772,-6.016,-6.256,-5.567,-6.199
C92077575_P144158013,-5.703,-7.319,-6.386,-5.81,-5.278,-5.59,-7.187,-6.198
C16401817_P24800248,-5.456,-5.601,-5.953,-6.389,-5.222,-5.678,-6.61,-6.198
C39289627_P59523676,-5.581,-6.027,-5.361,-5.962,-5.247,-5.408,-5.25,-6.198
C85935786_P134547046,-5.494,-5.789,-5.508,-6.167,-5.761,-5.663,-5.9,-6.197
C35955874_P155571214,-5.265,-6.442,-7.369,-6.85,-4.381,-5.936,-6.871,-6.194
C36896142_P54846893,-5.195,-6.668,-6.202,-6.539,-5.249,-5.35,-6.7,-6.193
C85930357_P134565083,-5.541,-6.35,-5.991,-6.718,-5.126,-5.916,-5.889,-6.192
C50398476_P75372349,-4.742,-5.556,-5.306,-5.953,-5.261,-5.527,-6.04,-6.188
C36373166_P54065408,-5.361,-6.327,-5.909,-6.791,-4.884,-5.169,-6.627,-6.186
C72237083_P112240536,-5.859,-6.7,-5.548,-6.548,-5.222,-5.83,-6.155,-6.185
C36222245_P53810452,-4.775,-6.312,-5.65,-6.764,-5.015,-5.259,-5.726,-6.185
C83824265_P131123654,-5.249,-5.854,-4.864,-6.192,-4.565,-5.405,-5.272,-6.185
C85717947_P134190994,-5.056,-6.913,-6.032,-6.571,-5.675,-5.214,-5.768,-6.184
C40255785_P61121476,-3.982,-7.061,-5.652,-7.593,-5.311,-6.119,-5.512,-6.184
C31162327_P45906452,-4.374,-5.13,-5.414,-4.841,-6.021,-5.562,-5.727,-6.183
C70838776_P109315276,-5.661,-6.506,-6.404,-6.335,-4.722,-6.027,-6.62,-6.181
C03620177_P150659082,-4.359,-6.801,-6.419,-7.417,-5.048,-5.323,-6.443,-6.181
C03844911_P24132138,-5.761,-6.508,-6.046,-6.867,-6.581,-6.937,-5.999,-6.181
C94178862_P147604058,-5.202,-5.667,-5.616,-6.332,-5.889,-5.189,-6.306,-6.179
C75484938_P117499824,-5.722,-6.376,-6.22,-6.923,-5.558,-5.541,-6.268,-6.179
C86951568_P136097461,-5.307,-6.545,-5.464,-6.466,-5.804,-5.904,-6.124,-6.179
C37788008_P56188875,-5.051,-6.427,-6.091,-5.658,-5.919,-5.308,-5.736,-6.177
C40232664_P61088648,-3.848,-7.028,-5.941,-7.042,-4.585,-5.736,-6.075,-6.175
C41054603_P62312687,-5.548,-5.708,-5.789,-6.435,-4.563,-5.658,-6.302,-6.174
C95433418_P149914885,-4.582,-5.084,-6.015,-5.219,-4.668,-4.703,-5.587,-6.173
C38548159_P58352904,-4.589,-6.729,-5.326,-6.239,-4.138,-4.403,-6.136,-6.172
C83891074_P131241568,-4.639,-5.834,-5.078,-6.267,-5.327,-4.672,-6.223,-6.17
C90364438_P141270099,-5.005,-6.783,-6.073,-6.179,-4.681,-4.963,-6.223,-6.166
C16650487_P110991212,-5.708,-6.513,-5.595,-7.572,-5.225,-5.422,-6.703,-6.163
C00330440_P23897762,-5.956,-6.318,-5.876,-5.94,-5.625,-6.021,-5.316,-6.163
C86450525_P135338715,-5.293,-5.72,-5.631,-5.734,-6.425,-5.114,-6.075,-6.162
C87812540_P137345439,-4.985,-6.363,-5.708,-6.445,-5.341,-6.028,-6.032,-6.162
C63658779_P97750260,-4.543,-6.705,-5.289,-5.079,-4.84,-5.521,-5.575,-6.162
C97103005_P153731009,-4.994,-6.313,-5.95,-6.635,-5.134,-5.634,-5.809,-6.161
C86801349_P135863537,-5.397,-5.746,-5.419,-6.991,-6.767,-5.603,-5.729,-6.161
C85447622_P133751865,-5.513,-4.483,-5.229,-5.009,-5.001,-5.337,-5.135,-6.157
C69978709_P107849734,-4.481,-5.707,-5.817,-6.511,-4.79,-5.507,-5.48,-6.156
C44087881_P66616234,-3.9,-7.101,-5.202,-7.946,-5.493,-3.963,-6.829,-6.153
C63361963_P97309836,-4.17,-5.058,-4.99,-5.583,-3.452,-6.161,-5.976,-6.15
C61418743_P94034246,-5.034,-6.722,-5.662,-6.455,-5.922,-5.489,-6.374,-6.149
C83002844_P129744829,-5.043,-5.637,-5.327,-5.761,-5.157,-5.158,-6.035,-6.149
C71764957_P111196036,-5.631,-6.056,-6.366,-6.601,-5.537,-6.793,-5.934,-6.149
C00996995_P12857531,-5.436,-5.925,-6.496,-5.384,-4.855,-4.671,-5.904,-6.147
C85377954_P133637646,-4.005,-5.485,-4.741,-5.871,-4.674,-5.253,-5.632,-6.147
C94723526_P148467602,-5.511,-6.593,-6.149,-6.349,-5.633,-6.106,-5.154,-6.145
C82659183_P129186609,-4.715,-6.221,-5.317,-6.413,-5.074,-4.86,-5.931,-6.14
C03120206_P20703762,-4.588,-5.791,-5.646,-3.852,-4.127,-3.426,-4.556,-6.14
C54558564_P82099572,-5.219,-6.43,-5.796,-6.364,-5.1,-5.528,-6.519,-6.139
C86454349_P135350828,-5.997,-6.481,-5.748,-5.899,-5.354,-5.381,-5.817,-6.138
C97358608_P154185689,-4.95,-6.86,-5.923,-6.938,-6.043,-5.92,-5.587,-6.138
C82503762_P128936583,-5.417,-6.034,-5.184,-6.041,-5.221,-5.668,-5.389,-6.136
C59993373_P91518259,-5.418,-6.684,-5.702,-6.593,-6.489,-6.347,-6.644,-6.133
C61117301_P93541868,-5.127,-6.918,-6.448,-6.404,-5.467,-5.688,-6.265,-6.132
C38586188_P58420608,-4.905,-6.973,-6.316,-6.973,-5.147,-6.304,-6.17,-6.131
C40235240_P61090024,-3.9,-6.631,-6.545,-5.72,-6.118,-4.856,-5.907,-6.131
C87606284_P137025659,-4.483,-4.952,-4.684,-5.262,-5.151,-5.103,-4.838,-6.131
C37832972_P56270032,-4.872,-5.419,-5.093,-6.102,-4.832,-4.945,-5.13,-6.13
C97007634_P153538717,-5.367,-6.462,-5.567,-6.085,-5.269,-5.924,-6.082,-6.127
C04379267_P05838684,-5.133,-6.383,-5.526,-6.782,-5.735,-5.227,-6.121,-6.125
C97245356_P154002288,-5.68,-6.2,-5.572,-6.07,-5.584,-5.973,-5.587,-6.125
C65356051_P150074715,-6.391,-6.67,-6.051,-5.896,-5.941,-6.005,-6.345,-6.121
C61687648_P143325154,-4.479,-6.1,-5.097,-6.194,-4.983,-5.847,-5.867,-6.121
C85448747_P133734972,-5.104,-5.48,-5.371,-5.912,-5.618,-5.516,-6.399,-6.119
C83852326_P131186800,-4.99,-6.207,-5.769,-5.856,-5.173,-5.074,-6.2,-6.119
C69658461_P107294267,-5.512,-5.44,-5.348,-6.161,-4.886,-4.91,-5.843,-6.119
C72133446_P111984367,-6.531,-5.326,-6.588,-6.999,-5.498,-6.217,-6.602,-6.118
C87700104_P137177365,-5.38,-6.059,-5.826,-6.319,-5.328,-5.733,-5.393,-6.115
C95707470_P150526753,-5.649,-6.445,-5.549,-6.418,-5.098,-5.382,-5.73,-6.114
C14451571_P56574842,-5.075,-5.501,-5.228,-5.76,-5.221,-4.919,-4.653,-6.113
C90670130_P141810056,-6.031,-6.626,-6.381,-6.993,-6.79,-6.709,-5.262,-6.112
C61875378_P94806289,-5.444,-6.622,-6.037,-7.17,-5.332,-5.175,-6.312,-6.111
C89681919_P140203112,-5.422,-6.531,-6.009,-6.369,-5.185,-4.474,-6.025,-6.111
C95642894_P150397381,-5.287,-6.315,-5.235,-6.213,-5.237,-4.814,-6.19,-6.11
C88527255_P138471733,-5.843,-6.94,-6.871,-6.6,-5.195,-5.668,-6.831,-6.109
C39826894_P60448240,-4.347,-6.521,-5.633,-6.822,-6.361,-5.614,-5.897,-6.109
C88096703_P137778416,-5.339,-5.928,-5.45,-5.92,-5.396,-5.486,-5.736,-6.108
C85792228_P134304314,-5.18,-5.828,-5.53,-6.796,-5.319,-5.78,-6.108,-6.107
C86816537_P135879955,-5.103,-5.739,-5.774,-5.538,-5.375,-5.715,-5.889,-6.107
C40232619_P61088626,-5.977,-7.304,-5.834,-6.261,-6.169,-5.737,-6.753,-6.106
C38541289_P97276928,-4.942,-5.894,-5.159,-6.447,-5.44,-5.5,-5.89,-6.106
C89682598_P140204025,-4.837,-6.413,-5.131,-5.976,-5.229,-6.505,-5.667,-6.106
C45659866_P68804761,-5.418,-5.694,-6.186,-5.99,-4.728,-5.54,-4.929,-6.106
C70483529_P153721387,-4.762,-6.898,-6.004,-6.958,-5.545,-6.057,-6.693,-6.103
C85088986_P133138084,-4.582,-6.321,-4.372,-5.947,-6.658,-6.29,-5.992,-6.103
C01322173_P13453394,-4.313,-6.519,-5.677,-6.132,-3.876,-5.038,-5.773,-6.1
C82819753_P129453146,-4.916,-5.99,-5.491,-6.443,-6.559,-4.914,-5.47,-6.1
C05387271_P19891953,-5.498,-6.56,-6.399,-5.416,-6.488,-4.418,-5.09,-6.097
C07089169_P11110803,-5.285,-6.47,-5.656,-6.514,-6.275,-6.281,-5.713,-6.095
C44187123_P66742739,-5.381,-6.67,-5.812,-6.228,-4.953,-5.413,-6.092,-6.093
C68847811_P105714192,-5.063,-6.235,-5.592,-5.83,-5.015,-4.88,-5.525,-6.093
C86423518_P135300735,-4.974,-5.512,-5.618,-6.075,-4.544,-5.01,-6.147,-6.09
C85076202_P133124054,-4.865,-5.549,-5.656,-6.254,-4.835,-5.624,-7.151,-6.089
C94907447_P148758942,-4.838,-5.808,-6.042,-5.909,-4.831,-5.477,-5.602,-6.089
C02049879_P26195427,-4.423,-5.634,-4.952,-5.57,-3.998,-4.818,-4.876,-6.089
C82658085_P129185493,-4.483,-5.289,-5.389,-5.965,-4.952,-5.888,-6.319,-6.088
C33357979_P49380347,-5.261,-6.68,-6.004,-5.428,-5.538,-5.771,-6.285,-6.084
C61122117_P93549779,-5.173,-6.507,-5.245,-5.927,-5.488,-5.616,-6.494,-6.083
C88037388_P137695028,-4.93,-5.845,-6.081,-6.086,-4.885,-5.333,-5.924,-6.081
C35621702_P90794953,-4.734,-6.303,-6.016,-6.707,-5.508,-5.837,-5.585,-6.081
C34558606_P51285149,-5.243,-5.996,-5.765,-6.618,-5.101,-5.501,-6.391,-6.079
C72225237_P112205443,-5.394,-6.451,-5.555,-6.237,-5.349,-5.386,-5.858,-6.078
C95468360_P149960645,-5.086,-4.78,-5.313,-6.618,-4.864,-5.468,-5.613,-6.078
C71099555_P109734124,-5.391,-5.955,-5.845,-6.08,-4.639,-5.369,-5.917,-6.076
C85006023_P133032551,-4.927,-6.299,-6.232,-6.768,-5.826,-6.817,-6.746,-6.075
C86617872_P135590617,-4.71,-5.672,-5.123,-5.564,-5.364,-5.654,-5.047,-6.074
C42029981_P63608046,-5.428,-6.25,-6.375,-6.538,-5.75,-5.869,-6.665,-6.072
C85314899_P133497451,-5.289,-6.435,-5.994,-6.27,-5.835,-5.694,-5.993,-6.072
C93915685_P147207650,-4.357,-4.959,-5.276,-5.692,-6.098,-6.076,-6.413,-6.071
C33636187_P49836276,-5.472,-6.191,-6.438,-7.231,-5.584,-4.996,-5.914,-6.07
C08629036_P150367896,-4.052,-5.42,-6.099,-7.02,-4.522,-5.101,-7.143,-6.069
C93807135_P146976171,-5.304,-6.455,-5.881,-5.814,-4.796,-6.182,-6.223,-6.067
C86440506_P135342606,-4.538,-6.371,-5.433,-6.338,-4.923,-5.23,-5.607,-6.067
C92698139_P145097254,-5.129,-5.111,-5.072,-7.096,-5.149,-5.476,-5.191,-6.064
C69976184_P107846933,-5.652,-6.139,-5.864,-5.893,-5.645,-5.382,-6.187,-6.063
C14947847_P29387308,-5.038,-5.989,-4.782,-5.449,-4.682,-5.102,-5.683,-6.062
C70800711_P109261142,-4.553,-5.648,-5.289,-5.882,-5.11,-5.301,-5.773,-6.061
C62814098_P96399029,-5.206,-5.751,-5.646,-5.571,-4.127,-5.247,-5.144,-6.06
C86375868_P135243953,-4.909,-6.94,-6.558,-6.879,-5.403,-4.827,-5.873,-6.056
C83669472_P130879462,-4.729,-5.48,-5.379,-5.326,-5.199,-5.043,-5.088,-6.055
C80510171_P125707387,-5.565,-6.573,-5.968,-6.703,-5.487,-6.135,-5.883,-6.054
C40225537_P61072178,-5.041,-7.132,-5.753,-7.364,-6.117,-5.626,-6.051,-6.049
C83999600_P131412703,-5.628,-6.166,-5.933,-6.734,-6.1,-6.607,-6.828,-6.048
C00249147_P23889830,-5.971,-6.504,-5.953,-7.129,-5.504,-5.676,-6.514,-6.045
C83145309_P129959769,-5.327,-5.526,-5.437,-6.629,-5.652,-5.591,-6.14,-6.043
C06186757_P47853779,-5.462,-6.63,-5.335,-6.663,-6.089,-6.325,-5.989,-6.043
C71773288_P111211614,-5.619,-5.561,-5.579,-5.929,-4.706,-5.053,-5.976,-6.043
C97290793_P154086978,-5.445,-4.566,-4.704,-4.658,-6.397,-5.294,-4.419,-6.043
C14923474_P22712442,-3.763,-6.241,-5.521,-6.5,-5.558,-5.081,-6.942,-6.042
C93972342_P147287380,-5.668,-5.765,-5.682,-6.209,-5.114,-5.707,-5.403,-6.042
C85942112_P134559451,-5.398,-6.445,-5.466,-6.26,-5.504,-5.557,-5.862,-6.041
C86604096_P135564829,-5.13,-6.344,-6.397,-6.543,-5.93,-6.032,-5.796,-6.041
C06685097_P52153297,-5.317,-6.141,-6.095,-6.401,-5.616,-5.458,-6.177,-6.04
C55266567_P83250922,-5.353,-5.517,-5.451,-5.746,-4.693,-4.564,-5.573,-6.038
C00680976_P155504566,-5.455,-5.59,-5.404,-5.518,-5.499,-5.062,-5.412,-6.036
C05393760_P08210419,-5.031,-5.855,-5.372,-5.896,-4.485,-4.314,-5.29,-6.036
C90895251_P142190069,-5.592,-6.419,-6.157,-6.633,-5.58,-5.903,-6.227,-6.035
C40205599_P61039419,-4.687,-6.103,-5.386,-6.522,-5.208,-5.134,-5.404,-6.029
C81004246_P126478083,-4.615,-5.81,-5.874,-6.502,-5.026,-5.471,-6.655,-6.027
C90424777_P141412371,-5.136,-6.597,-5.876,-6.811,-5.433,-5.319,-6.204,-6.027
C85037707_P133069678,-4.412,-4.857,-5.262,-5.732,-4.327,-5.544,-4.881,-6.027
C08762285_P13452699,-5.382,-6.584,-6.783,-7.257,-4.771,-6.517,-6.558,-6.025
C86387034_P135255119,-4.975,-6.897,-5.836,-6.542,-5.672,-5.549,-5.56,-6.025
C39907324_P60550154,-4.693,-6.196,-5.756,-6.767,-4.766,-5.469,-6.874,-6.023
C85779056_P134289306,-4.71,-5.904,-5.748,-5.559,-5.405,-5.617,-6.378,-6.022
C52095237_P78000611,-5.05,-6.242,-5.529,-6.335,-5.405,-5.177,-6.132,-6.02
C61991783_P95109742,-4.371,-5.161,-5.17,-5.804,-4.339,-5.321,-5.416,-6.019
C70427808_P108597975,-6.258,-5.505,-6.337,-6.374,-5.62,-5.941,-5.005,-6.019
C83262953_P130147923,-4.527,-7.066,-6.936,-6.161,-6.072,-4.989,-5.387,-6.016
C82573195_P129043472,-4.396,-5.479,-5.079,-5.48,-4.382,-4.607,-5.331,-6.016
C61844366_P94747846,-4.744,-5.355,-5.693,-5.563,-4.773,-4.977,-4.755,-6.015
C08921407_P74921300,-4.927,-4.947,-4.543,-5.532,-3.933,-3.228,-6.107,-6.014
C19388745_P28670315,-5.098,-5.69,-5.409,-6.365,-4.373,-4.511,-6.149,-6.013
C81868411_P127703003,-5.797,-5.843,-5.851,-7.099,-5.773,-5.338,-5.636,-6.012
C87857194_P137422548,-5.038,-5.974,-5.054,-7.27,-5.142,-5.423,-6.083,-6.011
C40239395_P61088156,-5.419,-7.003,-5.764,-7.46,-5.771,-5.273,-5.997,-6.011
C19753835_P29300921,-5.455,-7.158,-7.244,-6.598,-5.92,-5.107,-7.294,-6.009
C16939466_P46803101,-5.729,-6.252,-6.668,-5.928,-6.418,-5.999,-5.702,-6.009
C44176101_P66763837,-5.742,-6.595,-5.043,-6.214,-4.031,-4.949,-5.463,-6.009
C83524072_P130643847,-4.575,-5.303,-5.427,-5.568,-5.35,-4.906,-5.178,-6.007
C59680211_P90932472,-4.647,-6.247,-6.696,-5.63,-5.541,-4.222,-5.718,-6.004
C36853441_P86629908,-4.846,-5.641,-5.664,-5.809,-5.438,-4.773,-5.452,-6.004
C82551836_P129013352,-5.473,-5.901,-5.494,-5.608,-5.669,-5.697,-5.732,-6.003
C36825537_P54728295,-4.721,-6.184,-5.17,-6.177,-5.555,-4.82,-5.54,-6.002
C14968596_P22761009,-4.028,-7.319,-6.233,-6.439,-4.168,-4.768,-6.073,-5.998
C93742699_P146887304,-4.643,-6.154,-5.818,-6.272,-3.582,-4.355,-5.653,-5.998
C85569645_P133965599,-5.121,-6.266,-5.449,-6.578,-5.536,-5.126,-6.81,-5.997
C90898321_P142183990,-5.277,-5.84,-5.999,-6.694,-4.828,-5.298,-6.9,-5.996
C01400722_P111275234,-4.925,-5.905,-6.021,-6.426,-4.88,-5.285,-6.428,-5.995
C85431570_P133711063,-4.817,-5.534,-4.946,-5.623,-5.347,-5.007,-5.552,-5.995
C38621033_P58487689,-4.367,-6.471,-5.029,-5.651,-4.56,-5.329,-6.255,-5.993
C94263618_P147738260,-5.507,-5.995,-5.928,-6.483,-5.933,-5.587,-6.049,-5.993
C33014055_P48867259,-4.578,-6.004,-6.308,-7.386,-4.663,-6.78,-6.48,-5.992
C94217454_P147659785,-4.71,-5.92,-5.599,-6.539,-5.751,-4.865,-6.621,-5.989
C70565327_P108844059,-5.636,-5.307,-5.407,-5.716,-4.737,-5.049,-5.787,-5.989
C81918793_P127762983,-4.736,-5.264,-4.602,-5.435,-6.201,-4.438,-5.086,-5.989
C69267739_P106508024,-5.002,-6.894,-6.441,-6.912,-4.735,-6.272,-6.328,-5.988
C86910037_P136034507,-4.916,-5.587,-4.525,-6.354,-5.508,-5.218,-5.758,-5.988
C86710370_P135723524,-5.171,-5.549,-5.132,-5.769,-4.657,-5.198,-5.482,-5.988
C87856884_P137422238,-5.191,-5.992,-6.296,-7.202,-6.16,-5.922,-6.322,-5.987
C97098642_P153716615,-5.615,-6.216,-5.749,-7.163,-6.09,-6.461,-7.08,-5.986
C83805731_P131094844,-5.078,-5.824,-5.523,-5.968,-5.64,-5.456,-5.442,-5.986
C70643434_P108972237,-5.047,-6.181,-6.28,-6.033,-5.524,-5.405,-6.057,-5.984
C43425484_P65671868,-4.771,-6.521,-6.176,-6.536,-5.602,-5.608,-6.499,-5.982
C82834466_P129473792,-4.933,-5.877,-5.516,-5.764,-5.06,-5.116,-5.593,-5.981
C02205662_P56476795,-5.029,-6.231,-5.331,-6.092,-7.234,-6.324,-6.117,-5.98
C91903799_P143873916,-5.311,-6.318,-5.807,-6.812,-5.991,-6.772,-5.557,-5.98
C16957275_P25535665,-5.011,-5.47,-4.893,-5.753,-4.633,-4.23,-5.649,-5.979
C83999352_P131436868,-6.06,-7.235,-5.9,-6.402,-5.474,-5.859,-5.969,-5.978
C45951613_P69197833,-4.769,-5.983,-5.9,-6.106,-5.751,-5.479,-4.962,-5.972
C62778041_P96327158,-4.852,-6.194,-5.638,-6.112,-5.393,-5.768,-6.551,-5.97
C94728657_P148475617,-5.438,-6.904,-6.206,-6.762,-5.536,-5.487,-6.361,-5.97
C38040397_P57195558,-5.418,-5.938,-6.002,-6.902,-5.089,-5.398,-6.315,-5.969
C91885276_P143851191,-5.052,-6.026,-5.281,-6.431,-5.756,-6.264,-5.93,-5.969
C94441181_P148010511,-4.865,-5.639,-5.519,-5.86,-4.747,-4.824,-5.666,-5.969
C85738133_P134268414,-4.59,-6.609,-6.682,-6.502,-6.231,-6.009,-5.91,-5.968
C88627650_P138623886,-5.589,-6.66,-6.281,-7.301,-5.721,-6.536,-6.741,-5.966
C08432090_P12761793,0,0,-6.29,-7.433,-3.16,-6.991,-5.892,-5.963
C98019350_P155689216,-5.89,-5.562,-6.174,-6.493,-5.44,-5.778,-5.618,-5.962
C39559999_P59974172,-5.435,-5.243,-6.351,-5.633,-5.764,-5.843,-5.086,-5.962
C94217080_P147659385,-4.674,-6.446,-6.393,-7.003,-5.34,-5.124,-7.308,-5.96
C89248090_P139569903,-5.458,-5.774,-5.374,-6.786,-5.37,-5.936,-6.02,-5.959
C54501813_P82019015,-4.871,-6.111,-5.03,-6.525,-4.879,-5.012,-5.86,-5.958
C94472083_P148072071,-4.933,-6.018,-5.923,-6.469,-5.642,-6.159,-5.859,-5.957
C45135579_P68019153,-5.096,-6.257,-5.245,-6.906,-5.418,-5.356,-5.733,-5.957
C88125163_P137823142,-6.572,-6.626,-6.507,-6.835,-5.439,-5.58,-5.677,-5.957
C80507787_P125703482,-4.911,-6.089,-6.241,-6.676,-5.008,-6.857,-6.349,-5.956
C97321406_P154128438,-5.306,-6.324,-5.38,-6.322,-7.083,-5.613,-5.932,-5.956
C72433646_P112687527,-5.974,-6.519,-6.327,-6.976,-5.803,-5.568,-5.916,-5.956
C80989911_P126484624,-4.315,-5.777,-5.696,-6.471,-4.417,-4.605,-5.81,-5.956
C87009680_P136190012,-5.594,-6.007,-5.53,-6.898,-6.391,-6.27,-5.296,-5.955
C77024203_P120172576,-4.89,-6.746,-6.593,-6.926,-5.748,-6.072,-6.131,-5.953
C87127150_P136347076,-5.619,-5.893,-4.878,-6.161,-4.828,-6.471,-6.19,-5.952
C37805171_P56216160,-5.453,-6.13,-6.193,-6.495,-5.624,-5.689,-6.055,-5.951
C51990843_P77891824,-3.966,-5.935,-5.363,-5.845,-5,-5.237,-5.67,-5.95
C93305911_P146077537,-4.938,-5.789,-5.632,-6.146,-5.855,-5.286,-5.764,-5.948
C86375854_P135243939,-4.899,-5.965,-6.1,-6.51,-5.86,-5.229,-5.305,-5.948
C38663933_P58532599,-4.042,-5.978,-5.36,-5.428,-4.648,-4.988,-5.929,-5.945
C36990538_P54984656,-4.689,-5.972,-6.058,-6.305,-5.353,-5.492,-5.583,-5.944
C94267206_P147743102,-5.133,-4.888,-5.435,-5.508,-4.574,-5.019,-4.822,-5.944
C42405941_P64130601,-5.065,-5.86,-4.693,-6.582,-4.984,-5.487,-6.256,-5.943
C87668757_P137136362,-4.312,-4.523,-4.412,-4.976,-4.037,-4.619,-4.835,-5.938
C69714989_P107365428,-4.708,-4.814,-5.309,-5.21,-5.283,-5.03,-5.07,-5.937
C94258980_P147724497,-4.997,-6.428,-5.381,-5.689,-4.571,-5.071,-5.224,-5.935
C86011130_P134673767,-4.968,-6.308,-5.636,-6.606,-6.492,-5.625,-6.532,-5.933
C92774972_P145220383,-4.533,-5.717,-6.213,-5.588,-6.183,-6.195,-6.332,-5.933
