Compound,Score,Flag
ZINC000000056302,-5.85,0
ZINC000000001532,-5.84,0
ZINC000000001574,-5.84,0
ZINC000000004257,-5.84,0
53326855,-5.83,1
ZINC000000002242,-5.83,0
ZINC000000117826,-5.83,0
ZINC000000001035,-5.82,0
ZINC000000002256,-5.82,0
ZINC000000008678,-5.81,0
ZINC000000001188,-5.8,0
ZINC000000001742,-5.79,0
ZINC000000005304,-5.79,0
ZINC000000295312,-5.79,0
ZINC000000000905,-5.77,0
ZINC000000026994,-5.77,0
ZINC000000054307,-5.77,0
ZINC000000001279,-5.76,0
ZINC000000001509,-5.76,0
ZINC000000001735,-5.76,0
ZINC000000073943,-5.76,0
ZINC000000600415,-5.76,0
ZINC000000001758,-5.75,0
ZINC000000106641,-5.75,0
ZINC000000004841,-5.74,0
ZINC000000006808,-5.74,0
ZINC000000074544,-5.74,0
ZINC000000021489,-5.73,0
ZINC000000005203,-5.72,0
ZINC000000002285,-5.71,0
ZINC000000032658,-5.71,0
ZINC000000078355,-5.7,0
ZINC000000591967,-5.7,0
ZINC000000064193,-5.69,0
ZINC000000001601,-5.68,0
ZINC000000002156,-5.68,0
ZINC000000116554,-5.67,0
ZINC000000000517,-5.66,0
ZINC000000017024,-5.66,0
ZINC000000029483,-5.66,0
ZINC000000042420,-5.65,0
ZINC000000002913,-5.64,0
ZINC000000246272,-5.64,0
ZINC000000003241,-5.62,0
ZINC000000003275,-5.62,0
ZINC000000002857,-5.6,0
ZINC000000389287,-5.6,0
ZINC000000008767,-5.57,0
ZINC000000009203,-5.57,0
ZINC000000012858,-5.57,0
ZINC000000053160,-5.57,0
ZINC000000074683,-5.57,0
ZINC000000008754,-5.56,0
ZINC000000029468,-5.56,0
ZINC000000090136,-5.56,0
ZINC000000003851,-5.55,0
ZINC000000274046,-5.55,0
ZINC000000003450,-5.54,0
ZINC000000006398,-5.54,0
ZINC000000002177,-5.52,0
ZINC000000009073,-5.52,0
ZINC000000057703,-5.52,0
ZINC000000092137,-5.51,0
ZINC000000146452,-5.51,0
ZINC000000001646,-5.5,0
ZINC000000031825,-5.5,0
ZINC000000004840,-5.49,0
ZINC000000022763,-5.49,0
ZINC000000058921,-5.48,0
ZINC000000001501,-5.46,0
ZINC000000005516,-5.46,0
ZINC000000111932,-5.45,0
ZINC000000258420,-5.45,0
ZINC000000002077,-5.44,0
ZINC000000067833,-5.43,0
ZINC000000592838,-5.42,0
ZINC000000034753,-5.41,0
ZINC000000429612,-5.39,0
ZINC000000002090,-5.38,0
ZINC000000002091,-5.38,0
ZINC000000006592,-5.38,0
ZINC000000081773,-5.37,0
ZINC000000074575,-5.36,0
ZINC000000084473,-5.36,0
ZINC000000004400,-5.34,0
ZINC000000053569,-5.33,0
44354936,-5.31,1
ZINC000000029704,-5.31,0
ZINC000000047320,-5.31,0
ZINC000000092140,-5.31,0
ZINC000000017027,-5.3,0
ZINC000000047977,-5.3,0
ZINC000000082321,-5.3,0
ZINC000000001517,-5.29,0
ZINC000000001718,-5.29,0
ZINC000000578999,-5.28,0
ZINC000000020838,-5.27,0
ZINC000000049138,-5.27,0
ZINC000000187839,-5.27,0
ZINC000000001876,-5.26,0
ZINC000000014915,-5.26,0
ZINC000000039280,-5.26,0
ZINC000000048482,-5.26,0
ZINC000000093190,-5.26,0
ZINC000000020371,-5.25,0
ZINC000000028590,-5.25,0
ZINC000000134207,-5.25,0
ZINC000000001093,-5.24,0
ZINC000000106157,-5.24,0
ZINC000000008248,-5.23,0
ZINC000000145681,-5.22,0
ZINC000000018714,-5.21,0
ZINC000000001860,-5.2,0
ZINC000000483607,-5.2,0
ZINC000000002237,-5.19,0
ZINC000000375429,-5.18,0
ZINC000000001749,-5.17,0
ZINC000000631546,-5.17,0
ZINC000000010961,-5.16,0
ZINC000000027915,-5.16,0
ZINC000000068398,-5.16,0
ZINC000000007301,-5.15,0
ZINC000000053943,-5.13,0
ZINC000000259752,-5.13,0
ZINC000000000542,-5.09,0
ZINC000000007536,-5.08,0
ZINC000000003868,-5.06,0
ZINC000000008936,-5.05,0
ZINC000000005359,-5.04,0
ZINC000000002157,-5.03,0
ZINC000000052413,-5.03,0
ZINC000000004085,-5.02,0
ZINC000000005803,-5.01,0
ZINC000000029871,-4.98,0
ZINC000000004494,-4.97,0
ZINC000000052153,-4.97,0
ZINC000000099026,-4.97,0
ZINC000000076091,-4.96,0
ZINC000000008850,-4.95,0
ZINC000000105546,-4.95,0
ZINC000000001901,-4.91,0
ZINC000000090967,-4.91,0
