Compound,Best,Flag
C38700533_P58591331,-8.95102596,0
C54641085_P82235606,-8.94463444,0
C01075172_P30428693,-8.9375,0
C27528430_P40562509,-8.93706894,0
C35363853_P112426627,-8.93597031,0
C02242790_P156199141,-8.93462944,0
Pyrazolone_137a-2GZ7,-8.93396378,1
C34895601_P154404675,-8.93386364,0
Pyrazolone_135a-2GZ7,-8.93108082,1
C37264088_P55413895,-8.92783737,0
C01811159_P49381263,-8.92653465,0
C50616214_P75701800,-8.92285442,0
C09280969_P14220478,-8.91890049,0
C21367128_P31901171,-8.91876888,0
C97951524_P155525888,-8.9170332,0
C63546974_P97586342,-8.91646004,0
C02706943_P05612470,-8.91596413,0
C95537784_P150170329,-8.90879631,0
C54201449_P81545072,-8.90795326,0
C96503459_P152467970,-8.89898682,0
C00796071_P56380410,-8.89606094,0
C06314472_P52603548,-8.89543343,0
C40484970_P61457159,-8.89099979,0
C38702163_P61567324,-8.88968277,0
C59293295_P90103644,-8.88882923,0
C17090826_P49391010,-8.88303471,0
C00699518_P49313923,-8.87395191,0
C08604398_P57162769,-8.87338924,0
C34700313_P51491251,-8.87316704,0
C02520771_P38089680,-8.86875629,0
C01056907_P57562048,-8.86844635,0
C72132481_P111980693,-8.86705875,0
C70669986_P109028294,-8.86434269,0
C03254764_P12582453,-8.86278343,0
C39914253_P60560002,-8.86174488,0
C13569162_P95018344,-8.86003876,0
C72439626_P112697525,-8.85814285,0
C09560598_P14650569,-8.8577013,0
C59392538_P90324587,-8.85559177,0
C33810229_P50100039,-8.85239887,0
C20704767_P30908679,-8.852355,0
C41586330_P96681256,-8.8520937,0
C76945162_P120040206,-8.84466553,0
C51096745_P76512116,-8.8422966,0
C12848949_P90512912,-8.84041023,0
C38564764_P58372999,-8.83932495,0
C28049127_P41312428,-8.83921623,0
C33810613_P50100427,-8.83850098,0
C34807281_P153931275,-8.83394146,0
C09462096_P57762285,-8.83153439,0
C94993416_P148903874,-8.82879257,0
C13729763_P21132663,-8.82832909,0
C01867701_P49381221,-8.8280201,0
C40823273_P61977337,-8.8269701,0
C15772661_P134746062,-8.8268261,0
C04708584_P06715944,-8.82608509,0
C01855655_P08528917,-8.82516766,0
C12751053_P18745417,-8.8190527,0
C57327406_P86057719,-8.81680012,0
C12524607_P20632750,-8.80898666,0
C27570531_P40646587,-8.80724335,0
C10510310_P15916769,-8.80690193,0
C15946573_P155566141,-8.80641556,0
C04785151_P06901215,-8.8061676,0
C70699126_P109076276,-8.80309677,0
C09196556_P19795113,-8.8004694,0
C20681766_P30878147,-8.7967186,0
C33636762_P152452158,-8.79433155,0
C18198655_P27207762,-8.79226398,0
C05579087_P56652944,-8.79088879,0
C17248728_P86296214,-8.78760338,0
C02119000_P109028500,-8.78273773,0
C18210436_P94800571,-8.78007984,0
C37210652_P55330500,-8.77845573,0
C22482057_P33402936,-8.7762928,0
C00873369_P56386369,-8.77556229,0
