Ligand,Score,Flag
ZINC000000032675,-7.41076469,0
ZINC000000065822,-7.40686941,0
ZINC000000180455,-7.40448761,0
active_23640938,-7.39883184,1
ZINC000000056338,-7.39633274,0
ZINC000000004270,-7.39378357,0
ZINC000000080363,-7.39126253,0
ZINC000000000642,-7.38658762,0
ZINC000000007332,-7.38273859,0
ZINC000000053230,-7.37838078,0
ZINC000000011647,-7.37818432,0
ZINC000000212916,-7.37244701,0
ZINC000000052653,-7.36113977,0
ZINC000000057455,-7.35846186,0
ZINC000000110538,-7.35764503,0
ZINC000000066436,-7.35283566,0
ZINC000000014481,-7.33871794,0
ZINC000000018161,-7.33476973,0
ZINC000000007374,-7.33395767,0
ZINC000000014070,-7.32240629,0
ZINC000000014953,-7.32158995,0
ZINC000000007633,-7.31543732,0
ZINC000000023698,-7.31469345,0
ZINC000000005151,-7.30897188,0
ZINC000000002857,-7.30880404,0
ZINC000000033690,-7.30769968,0
ZINC000000025902,-7.30489445,0
ZINC000000084651,-7.29793596,0
ZINC000000639544,-7.29687357,0
ZINC000000006817,-7.28649855,0
ZINC000000037104,-7.27898979,0
ZINC000000068145,-7.27743053,0
ZINC000000025531,-7.27733898,0
active_1948620,-7.2745719,1
ZINC000000032767,-7.27426338,0
ZINC000000000975,-7.26555777,0
ZINC000000054178,-7.25970173,0
ZINC000000000572,-7.24599075,0
ZINC000000036398,-7.23720169,0
ZINC000000016415,-7.23567486,0
ZINC000000032029,-7.22879028,0
ZINC000000005411,-7.22574329,0
ZINC000000000974,-7.21732283,0
ZINC000000029672,-7.21200895,0
ZINC000000009967,-7.20936251,0
ZINC000000012631,-7.19891787,0
ZINC000000003793,-7.19781876,0
ZINC000000000172,-7.18638372,0
ZINC000000040209,-7.1858058,0
ZINC000000089498,-7.1749444,0
ZINC000000002167,-7.17445374,0
ZINC000000219478,-7.174366,0
ZINC000000017875,-7.16877508,0
ZINC000000049635,-7.16797495,0
ZINC000000091401,-7.16030169,0
ZINC000000213275,-7.15941286,0
ZINC000000006638,-7.15872335,0
ZINC000000007301,-7.15527296,0
ZINC000000007282,-7.1521554,0
ZINC000000014915,-7.1488905,0
active_44440983,-7.14258385,1
ZINC000000001356,-7.12716913,0
ZINC000000032123,-7.1257329,0
ZINC000000038125,-7.12387991,0
ZINC000000062748,-7.12300014,0
ZINC000000017058,-7.12060738,0
ZINC000000025532,-7.11875582,0
ZINC000000026994,-7.11653566,0
ZINC000000005895,-7.11618662,0
ZINC000000019146,-7.11587334,0
ZINC000000005919,-7.11299038,0
ZINC000000015378,-7.11285782,0
ZINC000000006846,-7.08577585,0
ZINC000000039096,-7.07963562,0
ZINC000000049140,-7.06373692,0
ZINC000000102969,-7.05860281,0
ZINC000000024367,-7.04143429,0
ZINC000000189485,-7.03063059,0
ZINC000000036400,-7.02981234,0
ZINC000000010457,-7.02960634,0
ZINC000000026355,-7.02913904,0
ZINC000000015251,-7.02829409,0
ZINC000000010534,-7.02546024,0
ZINC000000008767,-7.0243187,0
ZINC000000001405,-7.00677681,0
ZINC000000010490,-6.9968648,0
ZINC000000003576,-6.9908433,0
ZINC000000034228,-6.9856925,0
ZINC000000033343,-6.98273373,0
ZINC000000208067,-6.98172951,0
ZINC000000070097,-6.9793272,0
ZINC000000022507,-6.97790813,0
ZINC000000032439,-6.97633648,0
active_11222830,-6.97632122,1
ZINC000000004241,-6.97313929,0
ZINC000000025913,-6.9583292,0
ZINC000000040832,-6.95025301,0
ZINC000000073083,-6.94874144,0
ZINC000000008754,-6.94808435,0
ZINC000000032694,-6.94675159,0
ZINC000000054925,-6.94292784,0
ZINC000000097086,-6.94066,0
ZINC000000004108,-6.93762779,0
ZINC000000022608,-6.93174601,0
ZINC000000003450,-6.93013573,0
ZINC000000073773,-6.93006468,0
ZINC000000036611,-6.92123556,0
